0.005,160.3
0.01,112.4
0.015,113.2
0.02,112.3
0.025,115.4
0.03,111.8
0.035,117.3
0.04,116.7
0.045,113.2
0.05,113.7
0.055,111.2
0.06,111.6
0.065,113.5
0.07,111.8
0.075,114.0
0.08,112.6
0.085,115.9
0.09,111.2
0.095,125.9
0.1,125.2
0.105,116.7
0.11,112.7
0.115,112.0
0.12,111.3
0.125,111.5
0.13,115.5
0.135,113.7
0.14,115.9
0.145,112.9
0.15,111.8
0.155,112.5
0.16,111.6
0.165,110.5
0.17,112.9
0.175,118.0
0.18,113.7
0.185,115.7
0.19,112.5
0.195,114.5
0.2,111.9
0.205,130.2
0.21,115.6
0.215,116.5
0.22,116.0
0.225,123.2
0.23,112.5
0.235,127.3
0.24,118.9
0.245,122.4
0.25,131.7
